category ID,cat_code,category1_ru,category2_ru,category3_ru,category4_ru,category5_ru,category6_ru,comm FBO %,comm FBS %,comm DBS%
2661,SalomatlikTibbiy jihozlarIngalyatorlar va aksessuarlar,Salomatlik,Tibbiy jihozlar,Ingalyatorlar va aksessuarlar,,,,20%,20%,20%
2662,Goʻzallik va parvarishYuz parvarishiNiqoblarLoy,Goʻzallik va parvarish,Yuz parvarishi,Niqoblar,Loy,,,20%,20%,20%
2663,Goʻzallik va parvarishYuz parvarishiSkrab va piling,Goʻzallik va parvarish,Yuz parvarishi,Skrab va piling,,,,20%,20%,20%
2664,SalomatlikTibbiy jihozlarTibbiyot termometrlari,Salomatlik,Tibbiy jihozlar,Tibbiyot termometrlari,,,,25%,25%,25%
2665,Maishiy kimyoviy moddalarTozalash va yuvish vositalariMaxsus tozalash vositalari,Maishiy kimyoviy moddalar,Tozalash va yuvish vositalari,Maxsus tozalash vositalari,,,,20%,20%,20%
2667,SalomatlikTibbiy jihozlarStetoskoplar,Salomatlik,Tibbiy jihozlar,Stetoskoplar,,,,20%,20%,20%
2668,SalomatlikTibbiy buyumlar va sarflov materiallariDori-darmonlar uchun dori qutilari va sumkalar,Salomatlik,Tibbiy buyumlar va sarflov materiallari,Dori-darmonlar uchun dori qutilari va sumkalar,,,,30%,30%,30%
2669,SalomatlikTibbiy jihozlarGlyukometrlar va aksessuarlarGlyukometr uchun lansetlar,Salomatlik,Tibbiy jihozlar,Glyukometrlar va aksessuarlar,Glyukometr uchun lansetlar,,,20%,20%,20%
2670,SalomatlikTibbiy buyumlar va sarflov materiallariDezinfeksiya vositalari,Salomatlik,Tibbiy buyumlar va sarflov materiallari,Dezinfeksiya vositalari,,,,30%,30%,30%
2671,SalomatlikTibbiy buyumlar va sarflov materiallariTibbiyot qoʻlqoplari,Salomatlik,Tibbiy buyumlar va sarflov materiallari,Tibbiyot qoʻlqoplari,,,,20%,20%,20%
